Distance [m],u [m/s],time [s],T [K],P [Pa],H2,H,O,O2,OH,H2O,HO2,H2O2,C,CH,CH2,CH2(S),CH3,CH4,CO,CO2,HCO,CH2O,CH2OH,CH3O,CH3OH,C2H,C2H2,C2H3,C2H4,C2H5,C2H6,HCCO,CH2CO,HCCOH,AR,N2,PT(S),H(S),H2O(S),OH(S),CO(S),CO2(S),CH3(S),CH2(S)s,CH(S),C(S),O(S)
0.0,0.005581468789381484,4.4791077301296535e-06,1672.1800782608764,101324.99999999999,5.2054975024019415e-05,6.634907602990655e-07,5.067538292789803e-07,0.3748412105993182,9.254206227450047e-06,0.02591159460372925,1.8548488279063235e-05,1.1981315376507472e-06,1.3242854106813447e-18,2.218872726337388e-13,9.106383304872677e-09,5.00724162285498e-09,0.0006211137575181723,0.3859294535504725,0.0023619677809639805,0.010417312407427088,1.251158938500039e-08,7.756536574336307e-05,1.3447823469398434e-09,4.03445014448956e-07,2.1236563466544743e-06,2.7807859907081507e-14,1.0813373500872552e-08,6.092593834085579e-10,6.777804626793963e-06,7.056782303991165e-07,1.7512872316210985e-05,1.026934196126665e-12,6.457747551805834e-10,7.330995008119222e-13,0.19972999239222128,2.6126978235832454e-31,0.8172609870277698,0.00010576345658794646,3.5956397904753605e-06,0.0011922460683640116,0.0002087718748653773,8.688263188855241e-08,1.255930079373571e-07,1.2559300793735708e-07,1.2559300793735708e-07,1.2304619619484992e-05,0.18121586765134776
2.5000000000000002e-08,0.006234805530561518,8.488855889467104e-06,1863.0337723482319,101325.00000000001,0.000803316026311301,9.466215587274163e-06,4.500129889712666e-06,0.34459190772605425,3.9880456803031685e-05,0.05720165077424782,8.97411392850905e-05,5.7318280756836574e-06,3.2153833364572347e-15,3.56082008354227e-11,3.03153478213048e-07,1.0396558168794925e-07,0.002995936048620247,0.36626872569552366,0.005827371261192527,0.021799838658336033,6.928728477362372e-07,0.000752234353604704,4.2163757450592773e-08,3.7121344410637645e-06,2.7052188974406993e-05,5.587764384317357e-11,2.6629774080546124e-06,1.035081449808513e-07,0.00018958069271805676,1.458655892819462e-05,0.00016293582355694555,4.646422402054633e-10,2.2176975612120588e-08,1.1946442260402047e-09,0.19920789971888056,1.741052483333329e-31,0.9108947932990163,0.00029502119910371634,5.450491226691663e-06,0.0008492949719228872,0.00021821017884379452,8.192723250713149e-08,1.1220925295188032e-07,1.1220925295188032e-07,1.1220925295188032e-07,1.846672583635392e-05,0.08771834457906048
5.0000000000000004e-08,0.006969598145755058,1.2075863271696542e-05,2061.198443019169,101325.00000000004,0.009377124819914711,0.00012047195877527904,3.1583383055752474e-05,0.3035646773446755,0.00021738199977933202,0.09872769198433244,0.0003452602451680175,2.708158750991905e-05,7.54436790778918e-12,6.051777640288936e-09,7.757782882905802e-06,2.171160752132857e-06,0.011473355984530932,0.32512714205441057,0.013731032203912774,0.03186730463613872,2.1108109986182076e-05,0.004067382265169311,1.4027475401642376e-06,2.6455680713123184e-05,0.00020870465747539096,5.346657041506263e-08,0.00029479122164153946,1.0704360863817296e-05,0.0028188375007026124,0.00018781989813036515,0.0005795500315553368,3.95009867424018e-07,9.993890805459927e-07,8.44952856704286e-07,0.19716090750268592,2.191842754439696e-31,0.9609658178084028,0.0007156654154146191,6.919117878800072e-06,0.0005321418107085737,0.00023699624089526045,6.429364987148882e-08,8.96674033498368e-08,8.966740334983682e-08,8.96674033498368e-08,2.7911266473989522e-05,0.03751421504436725
7.500000000000001e-08,0.00829784063441547,1.5088695296489592e-05,2317.5730128174614,101325.00000000001,0.07041940355733438,0.0012156543424988488,0.00016083790543581377,0.22059967386851811,0.0011047930702294045,0.16733397880118925,0.000488925102940468,5.401875173828458e-05,1.4640093537237331e-08,9.54912676907283e-07,0.00011775588028519927,2.8132444090554797e-05,0.028608666799069944,0.21128180179525732,0.044566238875558696,0.041285899003505884,0.00016112757154564453,0.005904301674462109,2.4160432375252676e-05,6.31024833221812e-05,0.00040773212120008047,8.536715590740878e-06,0.0074677529278610365,0.00028406783792940695,0.010605780566927143,0.0008947844990765423,0.0005007840995172168,6.394469608910314e-05,9.569731590107935e-05,5.259216608298949e-05,0.18619888514169694,2.0400115311353262e-29,0.983679031398992,0.001771564515263479,8.302400204034908e-06,0.0002976875665401814,0.00032085063846738066,5.56046601735445e-08,4.978625659842512e-08,4.9786256598425127e-08,4.978625659842512e-08,3.251224876935039e-05,0.013889846268338252
1.0000000000000001e-07,0.010460326398311615,1.74786780798214e-05,2648.2636640285773,101325.00000000003,0.16739910413604553,0.005431928332893335,0.0003677456080010863,0.12002443044787187,0.0031635300426155573,0.23065026097618865,0.00017774372879192103,3.058388083316416e-05,2.423197158291199e-06,2.5256898926112092e-05,0.0005824836939887449,0.00011678277420558242,0.03419518763841979,0.08735204733913084,0.09338104284414547,0.05131620080514133,0.00026941789977197783,0.00284282467619844,9.021765715415734e-05,3.670293986610538e-05,0.00017293730252656179,9.62338174837727e-05,0.02354533746402567,0.0007940107540736783,0.00702138030638677,0.0009535040101863037,0.00012600346599557884,0.00041102818785153486,0.00045252007812790284,0.00018967408927420676,0.16878145500671984,1.82961170660174e-29,0.9849292322039055,0.00247980611791167,7.830221175017416e-06,0.000225568085009473,0.0002742429951037546,7.143193937591546e-08,1.694286150083355e-08,1.6942861500833552e-08,1.6942861500833552e-08,9.679180832581909e-06,0.012073518935543346
1.2500000000000002e-07,0.012405104653699114,1.94939774825992e-05,2943.8032925172993,101325.00000000001,0.22620010267637475,0.010226754254585057,0.00040318405989610864,0.06037590738166101,0.005226154615674432,0.2564616935342237,5.7699738379181065e-05,1.3974553090389118e-05,2.0131768831440912e-05,8.609078543403075e-05,0.0009847212888828515,0.00016302103076471308,0.02372299796205998,0.03373753423879927,0.1308147260368331,0.05810685442583918,0.00021987003490625843,0.0012003745178756344,0.00011297569099628502,1.656468760252434e-05,6.77273905493522e-05,0.0002455689539925946,0.02882881262615592,0.0005667204802352846,0.0022960804734252255,0.0004294624548603883,2.7101463868176052e-05,0.000476319235227931,0.0004366662598262886,0.0002703402509317828,0.15820386712821694,-1.5140375870593025e-29,0.9848203991593922,0.002680374691516277,6.506493400656298e-06,0.0001751966475161204,0.00020503579145327984,7.874234357995798e-08,5.664845170937615e-09,5.664845170937617e-09,5.664845170937616e-09,2.6793702102793877e-06,0.012109712109637157
1.5000000000000002e-07,0.013567924935313056,2.13365584313579e-05,3118.873003006007,101324.99999999983,0.2589592674498453,0.011611848580937225,0.00031050583316009434,0.03527483199931845,0.005636325570163972,0.25771256006465565,2.9421584143425835e-05,8.96947091913857e-06,2.7746234724240666e-05,9.436951173097605e-05,0.0009321964584155371,0.00012336253808834853,0.014320281382501186,0.017048383992304638,0.15211093574516604,0.062408488961329854,0.000133788251516634,0.0005985759371253943,8.108099882280474e-05,8.006438557936844e-06,3.588490018679528e-05,0.00028482773678990874,0.026906664865281586,0.00024336556070877907,0.0007596912884818872,0.00016477070297842892,8.13879072981374e-06,0.0003383293735546348,0.00030582951108914526,0.0002741908809363726,0.1532473593858359,2.3969996913214787e-30,0.9855503693650002,0.0026804372697137847,5.5708688490100495e-06,0.00013993412699611876,0.00017422612706279492,7.678111566936228e-08,2.6589612797595043e-09,2.6589612797595043e-09,2.6589612797595043e-09,1.2303326492668457e-06,0.011448147151733994
1.7500000000000002e-07,0.014194600359420141,2.3097791531760403e-05,3206.148946459822,101325.00000000009,0.28150746037100494,0.011082761623933877,0.00022755610029403215,0.025365802143093877,0.005118950105702931,0.24997318620523112,2.026873223196768e-05,7.1590863716647095e-06,2.0352403672129527e-05,7.106583414427495e-05,0.0007357408922222994,8.101603431913994e-05,0.009229714557125252,0.011109052741177693,0.1636003050794272,0.06571535204522765,8.028102008947465e-05,0.0003502312265737931,5.0903263479395315e-05,4.437296163502108e-06,2.252293780819524e-05,0.00024689895919083934,0.023628560137174272,0.00010345342501647269,0.0003137324296852336,7.200376500615462e-05,3.3489271334962523e-06,0.0002227301119200432,0.00021066140002365112,0.00024380716231662934,0.1505806839832389,1.5111354614367753e-30,0.9863084749670257,0.0026391916160112606,5.0035008279045865e-06,0.00011987811295670285,0.00016251934027457446,7.358843190213325e-08,1.675055015020989e-09,1.6750550150209885e-09,1.6750550150209885e-09,8.07129755157248e-07,0.010764046719556658
2.0000000000000002e-07,0.014544171446164204,2.4816693161360576e-05,3247.5502625735016,101325.00000000003,0.2987826335781399,0.010191026569064954,0.0001759098663951099,0.021374098340646908,0.004473619572849664,0.23996938774395332,1.6578570055707482e-05,6.388938838991416e-06,1.2938583070610012e-05,4.981101009357629e-05,0.000565542061786595,5.472954174344772e-05,0.006563734481517334,0.008431949273177784,0.16996411043260595,0.06860490032266658,5.246167226059001e-05,0.00023215567217214187,3.30065044891858e-05,2.8356822666968003e-06,1.579828582841449e-05,0.00019842987452247732,0.02060210364410758,5.161800948793456e-05,0.00016205637847769053,3.7712899620693614e-05,1.755131958531139e-06,0.0001532691288082975,0.00015237612183844473,0.00020787707841844128,0.1488591850291364,1.3233425804826763e-30,0.9869067228778633,0.0026038053904762037,4.634538101733967e-06,0.00010833348537875647,0.00015837451069654064,7.087703468052384e-08,1.2522250767276869e-09,1.252225076727687e-09,1.2522250767276867e-09,6.366739961152918e-07,0.010217417889782657
2.2500000000000002e-07,0.014756767595228724,2.651083111119718e-05,3267.5053916411484,101325.00000000001,0.3125457049993256,0.009404573732570023,0.00014492998033937638,0.019689575490947943,0.00393821215139125,0.23018288862562875,1.4909947210870109e-05,6.037822902380252e-06,8.380000306066537e-06,3.5779026163639476e-05,0.00044455667378327313,3.9349146221825655e-05,0.005051775002274303,0.006965796799409965,0.17365603715967032,0.07123650962229547,3.764064152725674e-05,0.0001689742118122181,2.2953115774110122e-05,2.027332385932753e-06,1.2034666650157774e-05,0.00015895453996247222,0.018057712501520547,3.0481573924841698e-05,9.931868449673767e-05,2.2911614618624212e-05,1.087223031991994e-06,0.0001123837628871945,0.00011623191374603826,0.0001761417619191779,0.14761613027530152,1.3343766990824516e-30,0.9873707021877886,0.0025793927329516254,4.370853267359055e-06,0.00010105089824225921,0.00015709769076048213,6.864172783453767e-08,1.0272965217232753e-09,1.027296521723275e-09,1.027296521723275e-09,5.503427550212288e-07,0.009786763570623316
2.5000000000000004e-07,0.01489941956275442,2.8188748824346963e-05,3277.8057430673207,101324.99999999999,0.3237385824106865,0.008781448655333313,0.00012534499130298279,0.018925912426288893,0.0035284428349469364,0.22139775251791077,1.4072948483962195e-05,5.861505331204473e-06,5.7422531153340075e-06,2.6860543321158782e-05,0.00036062015784770385,2.994807276846921e-05,0.004111086633377027,0.006041404566231477,0.17589858248475576,0.07364725262123864,2.9087406029391852e-05,0.00013150692962733422,1.702781085709584e-05,1.5670068847633778e-06,9.723162098453672e-06,0.00012938761361187424,0.015944470246097228,2.044070795214295e-05,6.844216441502049e-05,1.5471638304860117e-05,7.516350819529022e-07,8.682941659797032e-05,9.247411845265233e-05,0.00015021607820152368,0.14666368844284777,1.4485153907226663e-30,0.9877407204850543,0.0025627835774211286,4.168323560073089e-06,9.597031828226936e-05,0.00015681806239985354,6.673364823272985e-08,8.879455465223836e-10,8.879455465223836e-10,8.879455465223836e-10,4.987764478466128e-07,0.009438971059354064
2.75e-07,0.015003873160727247,2.9854985250914053e-05,3283.7687244870585,101325.00000000007,0.3329923798279221,0.008290703940712905,0.00011203694029423407,0.018538502769572637,0.003215556460511372,0.21374636025594568,1.3603448279321573e-05,5.75915969352155e-06,4.1558480074820594e-06,2.100345461236806e-05,0.00030088302369592624,2.382721905768202e-05,0.003476715197110094,0.005396345541325135,0.17731418198705212,0.07584894792598094,2.3717222437082347e-05,0.00010726437489288194,1.3287638532868348e-05,1.2762423114003586e-06,8.1817632925625e-06,0.00010728528686454626,0.014177772626303407,1.4949884540632015e-05,5.098377084881971e-05,1.124048473447898e-05,5.585138621945929e-07,6.966847839983987e-05,7.585752522392281e-05,0.00012939144899667854,0.14590760173898473,1.4832130725566996e-30,0.9880443594656771,0.002550921650296956,4.005154631667217e-06,9.212591211607652e-05,0.00015681098866823778,6.50617932959834e-08,7.916774489463733e-10,7.916774489463733e-10,7.916774489463733e-10,4.6389554129086343e-07,0.009151245496249015
3.0000000000000004e-07,0.015085646651797492,3.151218965036996e-05,3287.736466175615,101324.99999999996,0.34076000149672947,0.007896086122036893,0.00010237159381077488,0.01830836629224501,0.0029718828102212945,0.20713613964108665,1.330825314165086e-05,5.689352188254226e-06,3.1443433632633218e-06,1.697071195117365e-05,0.0002567553917238052,1.9597613439655686e-05,0.00302003901832118,0.004911387193234842,0.1782336996062364,0.07785312402661097,2.0092549099038076e-05,9.042880907580728e-05,1.0769100549587888e-05,1.0768541571917126e-06,7.081147702009314e-06,9.043651946192951e-05,0.012685257926081888,1.1591296452854032e-05,4.00128368333021e-05,8.593668937254807e-06,4.3565690137243563e-07,5.741729007540587e-05,6.361551904989607e-05,0.0001125917313495893,0.14529203562793164,1.4751443966178213e-30,0.9882991518110891,0.002541896903091457,3.869536563357917e-06,8.904684401723142e-05,0.0001568167293735223,6.357683076559895e-08,7.197010231789246e-10,7.197010231789245e-10,7.197010231789245e-10,4.3793580786454615e-07,0.008908714504130567
3.25e-07,0.015152738149639659,3.316205647662344e-05,3290.735550265794,101325.0,0.34737278138166305,0.007570405638792057,9.496304132729424e-05,0.018146203074857113,0.002777425194923476,0.20141628506554438,1.3102464478010137e-05,5.634990814152276e-06,2.4626814828742414e-06,1.4066064732151856e-05,0.00022295894192938593,1.6523715083307537e-05,0.002673764828690472,0.004525991899295327,0.1788413163997886,0.07967487604815218,1.7500272703217977e-05,7.806613617553363e-05,8.97760817185489e-06,9.312145920662439e-07,6.251187882041721e-06,7.728880956117168e-05,0.01141111370732401,9.35439988468107e-06,3.255150576945367e-05,6.812448077272076e-06,3.514461243474753e-07,4.825118836945403e-05,5.4228427438374934e-05,9.8882392214556e-05,0.14478067782415832,1.4645839433027745e-30,0.9885166508635064,0.0025346271549143906,3.7543936138598676e-06,8.648626374857425e-05,0.0001567587493337847,6.22483640526948e-08,6.626716273251102e-10,6.626716273251102e-10,6.626716273251102e-10,4.171644412714942e-07,0.008701241174068921
3.5000000000000004e-07,0.015209549920235356,3.4805760605352135e-05,3293.2175749446997,101325.00000000006,0.35307555744917246,0.007294981135008902,8.904410566754806e-05,0.018015528401527474,0.002618564115045361,0.19643785936768954,1.2946795574787103e-05,5.588935061100693e-06,1.981179329306795e-06,1.1891406105809735e-05,0.00019625062502924364,1.4195754857380578e-05,0.002400200885920277,0.004206715796707558,0.17924403786243745,0.08133167824595644,1.5560384769099062e-05,6.858356573781666e-05,7.64480013028267e-06,8.195824258724375e-07,5.597990453590231e-06,6.680263680739527e-05,0.010313020868304568,7.765938759935324e-06,2.7167331150712252e-05,5.544350735808517e-06,2.9039278286615993e-07,4.114872756151762e-05,4.680998097996916e-05,8.754606062078157e-05,0.14434867532768905,6.321520761620943e-29,0.9887048699034409,0.002528507072040287,3.6551008883283165e-06,8.43029570952945e-05,0.0001566280274806256,6.105414375534595e-08,6.155059898413342e-10,6.15505989841334e-10,6.15505989841334e-10,3.996319333890291e-07,0.008521574406466573
3.75e-07,0.015258687966745246,3.64441714604978e-05,3295.38362960793,101325.00000000003,0.3580510883433767,0.00705713314986766,8.416471994601042e-05,0.01790159457929736,0.0024860547913225254,0.19207207591251133,1.2822066502114898e-05,5.548134424141162e-06,1.627662532929817e-06,1.0210205510084416e-05,0.00017458550906518288,1.2373044578145701e-05,0.0021769540489437775,0.00393381562184168,0.17950645844966587,0.0828416377555046,1.4056239679005342e-05,6.105772508364166e-05,6.616584804390439e-06,7.307953268560606e-07,5.066491721597663e-06,5.827916864564121e-05,0.009358696381419056,6.581843843865633e-06,2.310398706484987e-05,4.6012924332233425e-06,2.4419844347245284e-07,3.549801183779407e-05,4.0810838126216504e-05,7.80508288409092e-05,0.14397846161783934,6.254282449618468e-29,0.988869609593939,0.002523190346629844,3.5684277191905022e-06,8.240881053302235e-05,0.00015643680959181343,5.997598708134592e-08,5.752357778519491e-10,5.752357778519493e-10,5.752357778519491e-10,3.8425291841406413e-07,0.008364340056981182
4.0000000000000003e-07,0.015301813174303059,3.8077964770821285e-05,3297.326083718389,101325.00000000004,0.3624373588698066,0.006848156232028239,8.00454421124419e-05,0.017798552151908467,0.0023735297405860604,0.18821308793726277,1.2718328976454877e-05,5.51122496950694e-06,1.3598066011905799e-06,8.87583641525192e-06,0.0001566305600297459,1.0907086919789187e-05,0.001990029962802278,0.00369498662497926,0.179668957948682,0.08422221482944701,1.2856765181170848e-05,5.4921821431611185e-05,5.799757904199874e-06,6.581267861998717e-07,4.622608670919749e-06,5.123904474261639e-05,0.00852319965627668,5.665772640506707e-06,1.9930350510635928e-05,3.875650004916129e-06,2.080813269016477e-07,3.090973634895431e-05,3.587150271444533e-05,7.000393969348805e-05,0.14365731460223968,6.240713384971785e-29,0.9890152046428654,0.002518470504160488,3.4920074715601195e-06,8.074450209885041e-05,0.0001562011340404695,5.8998364523057304e-08,5.400241343784519e-10,5.400241343784519e-10,5.400241343784517e-10,3.703907803025964e-07,0.008225456200151353
4.2500000000000006e-07,0.015340059295614205,3.970768467725891e-05,3299.090519641265,101324.99999999999,0.3663398374817643,0.006661953548964453,7.650353869432459e-05,0.01770409625524198,0.0022765123060955227,0.18477563114330844,1.263003916307195e-05,5.4775352452677695e-06,1.1515638723928528e-06,7.79363714925157e-06,0.00014148695262349833,9.702142197816894e-06,0.0018302916861694996,0.003482200114621652,0.17975763378756934,0.08548948476761184,1.1878516382807373e-05,4.981041832169496e-05,5.135271280796195e-06,5.972987734289825e-07,4.244221386460396e-06,4.53452077773511e-05,0.007786991678658742,4.936345696958756e-06,1.738459937007094e-05,3.302128102319912e-06,1.7911476354268857e-07,2.7123421937716965e-05,3.174575454438959e-05,6.311304141245985e-05,0.1433758264812989,6.228768255484077e-29,0.9891449717143104,0.002514217819067757,3.424047461123492e-06,7.926760338242796e-05,0.0001559350104697237,5.810788388834862e-08,5.086774495224095e-10,5.086774495224095e-10,5.086774495224095e-10,3.576550705677687e-07,0.00810176651632731
