Distance [m],u [m/s],time [s],T [K],P [Pa],H2,H,O,O2,OH,H2O,HO2,H2O2,C,CH,CH2,CH2(S),CH3,CH4,CO,CO2,C2H2,C2H3,C2H4,C2H5,C2H6,AR,N2,PT(S),H(S),H2O(S),OH(S),CO(S),CO2(S),CH3(S),CH2(S),CH(S),C(S),O(S)
0.04,10.062922558519773,0.0043853106822008565,1006.2922545868382,101325.00000000003,2.2886197187316384e-09,7.353537440081532e-14,6.108491047032924e-14,0.20354163296535827,3.851737660386234e-13,0.00053998502687797,1.2876174907556123e-08,5.317185627943628e-10,-2.1073584066133553e-31,1.6547728121596383e-25,4.118435624943914e-19,3.5259494138738815e-20,1.446102741915693e-08,0.02830142049377848,5.2460737461328847e-14,0.0002699935095505414,1.1691791449179906e-19,3.809930565925885e-22,2.6827292874849976e-13,5.620279137643102e-16,3.5280466228345306e-11,0.0,0.7673469378107726,0.002768070308815292,1.225742676919703e-07,1.7664771592632865e-09,4.4155161721577116e-05,9.299890349589285e-08,3.816718777092575e-12,1.2971251467680264e-09,1.2971251467680264e-09,1.2971251467680262e-09,5.997939626253828e-10,0.9971875526946284
0.044,10.069146940287988,0.00478256379845019,1006.914692519561,101324.99999999999,2.7166357498642143e-09,8.12833781184853e-14,6.765903459722639e-14,0.20348818487619863,4.551535771582482e-13,0.0005934315892518,1.4087576489191147e-08,6.222719018458604e-10,1.4264389749143684e-31,1.8905998396447071e-25,5.117163589365402e-19,4.4039464966258214e-20,1.598568279786226e-08,0.02827469548367869,5.2927603965132383e-14,0.0002967169662177644,1.805591634347818e-19,5.551172021825584e-22,3.521117763421769e-13,6.88367820878236e-16,4.613272683347088e-11,0.0,0.7673469376253437,0.002791043488799474,1.2912862755241563e-07,1.9434891925282194e-09,4.613228963891033e-05,9.367413428726011e-08,3.868410068681158e-12,1.3039194973473133e-09,1.3039194973473133e-09,1.3039194973473133e-09,6.06035440668828e-10,0.9971625949534483
0.048,10.075465852065891,0.005179567774120596,1007.5465834251785,101325.0,3.191705552387717e-09,8.92966562886342e-14,7.448180565177446e-14,0.20343391963255877,5.315757299787052e-13,0.0006476952692560608,1.5306854987979374e-08,7.188719556344082e-10,3.282130673923551e-31,2.146317601082732e-25,6.269481895727302e-19,5.422359942718856e-20,1.7550775134164355e-08,0.02824756185181972,5.340511440187982e-14,0.00032384899899753835,2.7065562806507935e-19,7.881065927450871e-22,4.533998213706231e-13,8.316797201107443e-16,5.917885099849312e-11,0.0,0.7673469374187784,0.002814531837209111,1.3570153436905126e-07,2.124958935674724e-09,4.807476642548428e-05,9.436358259107154e-08,3.921527475557648e-12,1.3108416780138976e-09,1.3108416780138976e-09,1.310841678013898e-09,6.124289051419409e-10,0.997137156657215
0.052000000000000005,10.081882080263258,0.00557631909179689,1008.188205942856,101324.99999999999,3.7168343724062664e-09,9.758841546599067e-14,8.156627424481324e-14,0.20337881306106415,6.146127604163959e-13,0.0007028002388436379,1.653430014886338e-08,8.212975397579308e-10,2.2333344582391388e-32,2.4236740151758846e-25,7.590009415718988e-19,6.595175913343793e-20,1.9157619819904407e-08,0.028220007509328952,5.389366371489778e-14,0.0003514016948690155,3.9545523545919615e-19,1.0943896721944738e-21,5.743593363027234e-13,9.932543810184022e-16,7.468075356350385e-11,0.0,0.7673469371897387,0.002838554317909396,1.4231092651562824e-07,2.3110580752851315e-09,4.9988356910973855e-05,9.50677492651812e-08,3.9761308648640184e-12,1.3178958845321658e-09,1.3178958845321664e-09,1.3178958845321662e-09,6.189802323561915e-10,0.9971112130586024
0.056,10.088398534290057,0.005972814133740924,1008.8398510116666,101324.99999999997,4.295244762117342e-09,1.0617270789401482e-13,8.892636171959158e-14,0.20332283991862257,7.044495412035375e-13,0.0007587717395396766,1.7770216166117063e-08,9.293294478486005e-10,-3.838822059306894e-32,2.7245842529538453e-25,9.094487785591397e-19,7.93744869954972e-20,2.0807553284970335e-08,0.02819201983239108,5.439366731767908e-14,0.00037938767569647985,5.651012437868738e-19,1.4909533740015245e-21,7.17380555959943e-13,1.1744737217036527e-15,9.291712044422836e-11,0.0,0.7673469369368169,0.0028631308770513675,1.4897305025579957e-07,2.50196737486342e-09,5.1878007781264904e-05,9.578716025735442e-08,4.032283514056546e-12,1.3250865128931595e-09,1.3250865128931595e-09,1.3250865128931597e-09,6.256956132371541e-10,0.9970847392478019
0.06,10.0950182537816,0.006369049177549432,1009.5018225931038,101324.99999999999,4.930395087524574e-09,1.1506449661253347e-13,9.657692985970742e-14,0.20326597382944742,8.012841801282569e-13,0.0008156361454265829,1.9014922565242245e-08,1.0427504315060848e-09,-2.4240218100888486e-34,3.0511488362297686e-25,1.0799868005754443e-18,9.465384262315155e-20,2.2501934517680538e-08,0.028163585630741794,5.490556246033046e-14,0.00040782012973138843,7.919541128079202e-19,1.9976934885997678e-21,8.850334487436602e-13,1.376816565386072e-15,1.1418436420608493e-10,0.0,0.7673469366585115,0.0028882825079855684,1.5570290567068937e-07,2.697877289218763e-09,5.3748023630811346e-05,9.652236820971901e-08,4.0900523548904825e-12,1.3324181714639382e-09,1.3324181714639382e-09,1.3324181714639382e-09,6.325815747340717e-10,0.9970577099111069
0.064,10.101744416640434,0.006765020391535573,1010.1744384752504,101324.99999999999,5.6259999218777635e-09,1.2427972696156726e-13,1.0453385757482471e-13,0.20320818721501313,9.053290029648984e-13,0.0008734210331395144,2.026875520091986e-08,1.161345184078293e-09,-1.5617786153117127e-34,3.4056739809339417e-25,1.2724404655683005e-18,1.1196431158987537e-19,2.4242146831310642e-08,0.028134691112659423,5.542980973103633e-14,0.00043671284661788714,1.0909565691932434e-18,2.637807948616956e-21,1.080080253200153e-12,1.6018648370022973e-15,1.3879762191068048e-10,0.0,0.767346936353254,0.002914031322763589,1.6251458780032576e-07,2.898988638003003e-09,5.5602199252880844e-05,9.727395423032963e-08,4.149508241728715e-12,1.339895694474697e-09,1.339895694474697e-09,1.339895694474697e-09,6.396450033675001e-10,0.9970300991267725
0.068,10.108580346952634,0.00716072382987651,1010.8580310644093,101325.00000000001,6.386052405344193e-09,1.3383540388395756e-13,1.1281412422583369e-13,0.2031494512249294,1.0168116136908651e-12,0.0009321552510501147,2.1532067206507015e-08,1.2849003091600712e-09,-1.6304628756482317e-35,3.7906944430688495e-25,1.4887758279653637e-18,1.3149379423431822e-19,2.602959963479178e-08,0.02810532185035257,5.5966894624351926e-14,0.0004660802519984479,1.4800470003848574e-18,3.438237918712949e-21,1.3054887940381566e-12,1.851310210550955e-15,1.6709179200904332e-10,0.0,0.7673469360193313,0.0029404006268392052,1.694215535078225e-07,3.105513314725384e-09,5.7443920684235744e-05,9.804252972515462e-08,4.210726237295068e-12,1.3475241557616808e-09,1.347524155761681e-09,1.3475241557616808e-09,6.468931700031284e-10,0.9970018801890049
0.07200000000000001,10.115529524721447,0.0075561554274274885,1011.5529483584442,101325.00000000001,7.214849053589894e-09,1.4374967820950024e-13,1.2143590254279204e-13,0.20308973565234653,1.135976071993113e-12,0.0009918690037751614,2.2805230228878515e-08,1.413204309290137e-09,-2.6109119092044846e-32,4.208999325149317e-25,1.7311107424482112e-18,1.5344468810495044e-19,2.786573071783372e-08,0.028075462737695282,5.651732934060226e-14,0.0004959374497764184,1.9806271495585813e-18,4.430162547536827e-21,1.5644467198204553e-12,2.1269613186028732e-15,1.9942262252274687e-10,0.0,0.7673469356549455,0.0029674150049857277,1.764368372393004e-07,3.3176750917293707e-09,5.9276244133193173e-05,9.88287385306079e-08,4.2737859356676215e-12,1.3553088850708861e-09,1.3553088850708861e-09,1.3553088850708861e-09,6.543337581356667e-10,0.9969730254428968
0.076,10.122595594839694,0.007951310994254026,1012.259554844025,101324.99999999999,8.117016940855783e-09,1.5404193933401136e-13,1.3041865912279465e-13,0.20302900885552488,1.2630841557875916e-12,0.001052593930713536,2.4088635502268923e-08,1.5460475451003736e-09,-6.484339052437072e-34,4.663661111824004e-25,2.00172706051297e-18,1.780350673753513e-19,2.9752008387623035e-08,0.02804509795093126,5.708165461634798e-14,0.0005263002614025483,2.6180903785090246e-18,5.649553342017583e-21,1.8603766161558344e-12,2.43075148749897e-15,2.3616783876246477e-10,0.0,0.7673469352580842,0.002995100408595837,1.8357322780109541e-07,3.5357104505916808e-09,6.110195803643971e-05,9.96332590410972e-08,4.338771800777398e-12,1.3632554839060927e-09,1.3632554839060923e-09,1.3632554839060916e-09,6.619748929606742e-10,0.9969435061348911
