Distance [m],u [m/s],time [s],T [K],P [Pa],H2,H,O,O2,OH,H2O,HO2,H2O2,C,CH,CH2,CH2(S),CH3,CH4,CO,CO2,C2H2,C2H3,C2H4,C2H5,C2H6,AR,N2,PT(S),H(S),H2O(S),OH(S),CO(S),CO2(S),CH3(S),CH2(S),CH(S),C(S),O(S)
0.2,10.541353365002006,0.021493373681326984,1054.1351867793817,101324.99999999997,2.6871186913565765e-07,1.3211997318769004e-12,1.2686594457105057e-12,0.19941823387509552,1.8447354611283027e-11,0.004663162217665603,8.663000785836915e-08,7.759029687993074e-09,2.8842845320470452e-30,2.0658332791145262e-23,9.718641984827566e-17,9.211841472665411e-18,1.5958834905320734e-07,0.026239543609111033,1.0000996191893509e-13,0.0023316942840964625,2.9789352759948344e-15,2.764920326885539e-18,1.3498938413608175e-10,8.04192634059876e-14,1.3380786258911172e-08,0.0,0.7673468297877793,0.005080305362018205,7.482223731613384e-07,2.1165570953857805e-08,0.00014650642190416674,1.572418412073619e-07,1.0181142605526102e-11,1.8903989142090166e-09,1.890398914209017e-09,1.8903989142090166e-09,1.2749971462823812e-09,0.9947722546303097
0.22,10.657557996233813,0.023369976183235646,1065.7555425504256,101324.99999999999,4.633203275534168e-07,1.9517551741780795e-12,1.938556532301477e-12,0.19841219428919202,2.719461895168138e-11,0.0056690763686481115,1.0205076586243583e-07,8.576499485575913e-09,5.516896032114175e-33,4.451309439683532e-23,1.6650527885474806e-16,1.590125286436968e-17,1.969456354142318e-07,0.025736444426210786,1.1576015601220723e-13,0.002834740310768462,6.1000165482895365e-15,5.6894009425252864e-18,2.1231500034351054e-10,1.267931130915354e-13,1.9786016601983613e-08,0.0,0.7673467536822869,0.005839779509672379,9.879432567617377e-07,2.7957841248844814e-08,0.0001681552596383283,1.7702094839659237e-07,1.2722284721741116e-11,2.0562956349487588e-09,2.0562956349487588e-09,2.056295634948758e-09,1.5127438630857221e-09,0.9939908646146836
0.24,10.819886770974827,0.02521842436233456,1081.9881722993357,101324.99999999999,9.085192464967111e-07,3.203862058688442e-12,3.3339343213116774e-12,0.19700396847819795,4.3502696005571375e-11,0.0070770241428588405,1.2325006572538718e-07,9.274940260128585e-09,-2.728849856745144e-30,1.2056291280783402e-22,3.138881869152258e-16,3.025179092355901e-17,2.4966061673359955e-07,0.025032181780883168,1.410834259236266e-13,0.0035389243413546105,1.3029688600324197e-14,1.2599175176476597e-17,3.4274394000919026e-10,2.1314068315850578e-13,2.9386294474045976e-08,0.0,0.7673465807723896,0.007059000257653393,1.4117287383370613e-06,3.9087021247558986e-08,0.00019853487268412393,2.077037962030995e-07,1.7201661513823292e-11,2.3020340146619093e-09,2.3020340146619093e-09,2.3020340146619093e-09,1.9064017339762957e-09,0.992740797520795
0.26,11.102250990127136,0.027019860847390643,1110.2236570664734,101324.99999999977,2.5608241311083377e-06,6.98771103469142e-12,7.87374927753817e-12,0.19454659873768806,8.754751265720669e-11,0.009533382882719425,1.6028258022574602e-07,9.70307311121507e-09,2.2492136411914094e-32,5.917198031396588e-22,7.812586113436363e-16,7.635448300709552e-17,3.441443624386663e-07,0.023803047634972724,1.9561939222926515e-13,0.004767907381931057,3.276383341039849e-14,3.526921659498681e-17,6.108942319662556e-10,4.338145327890106e-13,4.55395179137603e-08,0.0,0.7673459421550576,0.009687252292209526,2.473195570686615e-06,6.362997570749503e-08,0.00025276176105388224,2.701259348171156e-07,2.8331013223437717e-11,2.7666862332822325e-09,2.7666862332822325e-09,2.7666862332822325e-09,2.79349315860337e-09,0.9900571678737642
0.28,15.502080806889792,0.02831001023114139,1539.1401418154162,101325.00000000003,0.002416865184428279,0.002485230887882977,0.0062469876789533405,0.1437366159914534,0.003797077151317302,0.05105189862085753,2.8572644195005736e-05,1.0036109191695664e-06,9.212166159929153e-09,1.5942670480243619e-07,2.7943594093391884e-07,3.849103676992897e-08,7.518655717223395e-06,4.896015878231041e-05,4.67795262715624e-12,0.028310387809207815,1.1215655893200592e-08,2.742670218232447e-09,2.792249005883844e-08,2.3067891739325176e-10,6.162707714299911e-10,8.883973410395834e-27,0.7618683523079931,0.24335724561443864,0.0004065315942730299,2.117454142586625e-06,0.0012612019838885772,5.683454225493962e-07,5.827125684082962e-10,5.63802642631516e-11,5.6380264263151615e-11,5.6380264263151615e-11,5.151600706738201e-10,0.7549723337412128
0.3,15.510217195947856,0.02959948282505763,1539.8924305011403,101325.00000000001,0.0023617962856923936,0.0024996731808705733,0.006353356325771154,0.1435411898417833,0.0038029666061255257,0.05120424153655888,2.8487886886186676e-05,9.989381397561027e-07,2.4036664446933687e-11,4.1087345439511377e-10,6.878431169949295e-10,9.22753954702385e-11,1.7892353285878516e-08,1.0113646151393257e-07,2.5326791501224974e-12,0.028366294844751772,7.233953482719878e-11,1.3296206766397883e-11,1.3061750248811577e-10,1.913326387304865e-13,3.1068565971031726e-13,8.999784882709359e-27,0.761840874090289,0.2441760741485875,0.00040900885546322357,2.126815182332169e-06,0.0012632535909662184,3.0163977633749835e-07,3.099258758112168e-10,1.1670973014269186e-13,1.1670973014269189e-13,1.1670973014269189e-13,1.0714478392558554e-12,0.7541492346390686
0.32,15.51020621043238,0.03088895633227708,1539.8908666114307,101324.99999999996,0.0023614148159763547,0.002499849497648168,0.006354079957969047,0.14354039397065185,0.003802994790807314,0.05120473321653845,2.8488024489035046e-05,9.989472483757222e-07,5.176595988562665e-14,8.83802712543889e-13,1.4664635493902074e-12,1.949279845477253e-13,3.774060295131417e-11,2.091539966758295e-10,2.527615181095233e-12,0.02836640655337542,3.7225744952884154e-13,6.206334498707266e-14,6.070745750810959e-13,3.8934027354207715e-16,1.709374139605885e-16,1.2124783396500749e-26,0.7618406399722348,0.24417472212211863,0.0004090078150989256,2.126831731663111e-06,0.0012632596299604999,3.010147875572987e-07,3.092821981290919e-10,2.413593920375207e-16,2.4135939203752073e-16,2.4135939203752063e-16,4.2508648740318615e-15,0.7541505822774068
0.34,15.510205841462117,0.032178429870171645,1539.8908246355259,101324.99999999997,0.0023614126551007096,0.002499851617655771,0.006354085596770465,0.1435403894707491,0.0038029953074029117,0.05120473433651729,2.848803060943904e-05,9.989476179010632e-07,1.0897206916522115e-16,1.8602065654505995e-15,3.083564693418922e-15,4.0504240560878145e-16,7.83003660471543e-14,4.3261642382120677e-13,2.5276060994174913e-12,0.028366406705989215,1.792700190661175e-15,2.88480180075336e-16,2.8198725569628683e-15,1.5534047573782534e-18,1.6690966304641465e-19,1.2124774382114446e-26,0.7618406373285382,0.24417468058629546,0.0004090077254212979,2.126831636315992e-06,0.0012632596375833733,3.0101367293015033e-07,3.0928101431562826e-10,4.992303672366876e-19,4.992303672366876e-19,4.992303672366875e-19,2.043877790179262e-15,0.7541506238964986
0.36,15.510205836475397,0.03346790340848079,1539.8908240762246,101324.99999999996,0.002361412640488426,0.002499851643081495,0.006354085652434119,0.14354038943294398,0.0038029953148039568,0.051204734333294144,2.848803069757192e-05,9.98947623253605e-07,2.316672517179111e-19,3.954929661184666e-18,6.5627432806100524e-18,8.410475145037035e-19,1.6206967205061604e-16,8.948635028896567e-16,2.527606100155837e-12,0.028366406705331526,8.437741389152242e-18,1.3401223111201015e-18,1.3097576578632828e-17,7.0881721241614e-21,4.66129020017351e-22,1.2124774379295601e-26,0.761840637296773,0.24417468002421205,0.0004090077241309562,2.1268316342245564e-06,0.0012632596374497914,3.010136730932097e-07,3.0928101397285945e-10,1.032653893754208e-21,1.032653893754208e-21,1.0326538937542081e-21,2.0393128408310877e-15,0.754150624459952
0.38,15.510205836478448,0.03475737694678969,1539.8908240765638,101324.99999999996,0.0023614126401634663,0.0024998516431087732,0.00635408565266927,0.1435403894326707,0.0038029953148082294,0.05120473433360678,2.8488030697468726e-05,9.98947623250836e-07,5.074314224036832e-22,8.664331990886372e-21,1.4415370966255623e-20,1.753020013010244e-21,3.3543242594066623e-19,1.8510777015209184e-18,2.5276061005100156e-12,0.02836640670533332,3.9384661981458524e-20,6.224781493556605e-21,6.083451825169441e-20,3.285976044270797e-23,2.0126377031921466e-24,1.0748962984861196e-26,0.7618406372967911,0.24417467999478082,0.00040900772408355946,2.126831633981817e-06,0.0012632596372997094,3.010136731276028e-07,3.092810139704642e-10,2.1361052158455257e-24,2.1361052158455246e-24,2.1361052158455246e-24,2.03930339853999e-15,0.7541506243668472
