Distance [m],u [m/s],time [s],T [K],P [Pa],H2,H,O,O2,OH,H2O,HO2,H2O2,C,CH,CH2,CH2(S),CH3,CH4,CO,CO2,HCO,CH2O,CH2OH,CH3O,CH3OH,C2H,C2H2,C2H3,C2H4,C2H5,C2H6,HCCO,CH2CO,HCCOH,N,NH,NH2,NH3,NNH,NO,NO2,N2O,HNO,CN,HCN,H2CN,HCNN,HCNO,HOCN,HNCO,NCO,N2,AR,C3H7,C3H8,CH2CHO,CH3CHO
2.5000000000000004e-07,0.004999942385120516,5.500201074991281e-05,1499.928312342669,101325.0,2.216406715396641e-05,9.59782123069189e-08,6.990288097653227e-08,0.3998881446738825,2.603566004967949e-07,9.942170224147902e-05,1.637997205518706e-05,2.1238719267195275e-06,9.53466873329244e-22,1.1517847740247678e-15,1.0538870329732577e-10,4.44234108221726e-11,0.00013319159941694775,0.39978058952931583,1.1073221935982207e-06,2.1137481614786006e-08,1.2982625363382869e-09,5.529403898090533e-05,1.5442534480916733e-11,8.317205482316829e-08,1.4072220829607053e-06,7.42774018064515e-18,2.0148932090907758e-10,2.3896784184965056e-12,9.678074324587079e-07,3.918722801213793e-08,5.889182397982891e-06,5.902114239445962e-16,2.519360806460338e-10,5.104210335174953e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19999274615728269,2.0197442018631823e-13,1.1638810760903893e-09,3.2240991831340506e-12,3.253687578800009e-11
2.75e-07,0.005000055196366503,6.000195555415563e-05,1499.9544955904632,101324.99999999999,2.642517962222014e-05,1.0783554934817451e-07,7.849004609255032e-08,0.399869035420762,2.881435161385015e-07,0.00011932652891813394,1.677742867671955e-05,2.1942889188655276e-06,1.2163324335848703e-21,1.3077338646220604e-15,1.3264163201361165e-10,5.551525288687267e-11,0.00014967987782761233,0.39974379189954007,1.5298521734565988e-06,2.8763034313658493e-08,1.6880202173603069e-09,6.776460175616117e-05,1.9731811947395073e-11,9.472067978790856e-08,1.7436121822361092e-06,1.2346317639390255e-17,3.023035905258157e-10,3.669596915526572e-12,1.3262160606390238e-06,4.973296837833424e-08,8.027971803250957e-06,1.0451694146578029e-15,4.137632864596507e-10,8.992058398874674e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19999172498208515,3.0527159631957764e-13,1.7831581211208382e-09,4.954822793266708e-12,4.981262276347465e-11
3.0000000000000004e-07,0.005000195518237124,6.500176004356367e-05,1499.9888047939344,101325.00000000006,3.117502218172061e-05,1.2020609669276214e-07,8.721411224329274e-08,0.3998482003692632,3.160307809080576e-07,0.0001411661488237752,1.712313226822384e-05,2.253982026285816e-06,1.5242226609219605e-21,1.4700811312719144e-15,1.6328781135363762e-10,6.793265439167488e-11,0.000166306520239118,0.3997040794031675,2.0655955735526743e-06,3.8160441929836675e-08,2.151767547628004e-09,8.165054105469786e-05,2.470201638703059e-11,1.0645139409379487e-07,2.121581539450188e-06,1.9751479110100572e-17,4.4048601625439e-10,5.432412059441269e-12,1.7707721160726368e-06,6.169442498250317e-08,1.0664011497786948e-05,1.7720985136019527e-15,6.534935472048918e-10,1.520640269146933e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19999068694054742,4.4569013184143077e-13,2.6339524257262492e-09,7.340068184988504e-12,7.360510877598648e-11
3.25e-07,0.005000364626573458,7.000139544357878e-05,1500.031691582507,101325.00000000001,3.6432110600203325e-05,1.3304954193601894e-07,9.601937291133338e-08,0.3998256213487205,3.439888891731467e-07,0.00016494732555542925,1.7439943382679335e-05,2.306456375637834e-06,1.880369691748169e-21,1.6384720702010027e-15,1.971651365529813e-10,8.162466325153385e-11,0.0001829465464197647,0.39966146002910974,2.733085054767936e-06,4.9520743851388256e-08,2.695172576530361e-09,9.694626094511449e-05,3.0393460834782084e-11,1.1831895297994991e-07,2.541571077279964e-06,3.05630409226895e-17,6.255529861022715e-10,7.788916711764392e-12,2.3112981897621483e-06,7.502241343396973e-08,1.3848347968086374e-05,2.89200768193599e-15,9.97424560264814e-10,2.4814290358087228e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19998964123681198,6.312495706090809e-13,3.768154958638541e-09,1.0530225754642938e-11,1.0542880752715107e-10
3.5000000000000004e-07,0.005000563649786108,7.500083185732573e-05,1500.0835531619027,101325.0,4.2213667044366544e-05,1.4633421477024094e-07,1.0485741469105205e-07,0.39980128520699465,3.720089248567797e-07,0.00019067628535640376,1.7746856421753802e-05,2.354787184024574e-06,2.2879943113359928e-21,1.812622148534386e-15,2.340568042206995e-10,9.652589102696123e-11,0.00019948856463129967,0.39961594212867657,3.5518593691138024e-06,6.30239390678006e-08,3.3233052504139194e-09,0.00011363887837234076,3.684785487000262e-11,1.302990045127004e-07,3.003926592996192e-06,4.592913080391233e-17,8.683677497247869e-10,1.0857630893967815e-11,2.957079648646521e-06,8.964299700286157e-08,1.762742735817674e-05,4.562796658746044e-15,1.4771149795093627e-09,3.92411219849979e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19998859571574712,8.704326488667958e-13,5.2405525572558936e-09,1.468603274454171e-11,1.4691211898939663e-10
3.75e-07,0.0050007935771182194,8.000003840614046e-05,1500.144733624263,101325.00000000001,4.85358782338912e-05,1.6003488321272268e-07,1.1368714147941309e-07,0.39977518215744007,4.0009600706543383e-07,0.00021835968186270996,1.8059025999028455e-05,2.4015720682125904e-06,2.7503438263005196e-21,1.9923179403107966e-15,2.7370640577828927e-10,1.125610559407762e-10,0.00021583613330078654,0.39956753282993535,4.5423152367627e-06,7.88369241516545e-08,4.040619018955187e-09,0.00013171008881174737,4.410867054071718e-11,1.423832039048755e-07,3.5089558898090636e-06,6.725636621803561e-17,1.181146385037806e-09,1.4762599720685022e-11,3.7167301765204197e-06,1.0546354594076493e-07,2.2042297567978e-05,6.985474010528153e-15,2.129627812590751e-09,6.035097867554001e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19998755670678203,1.1720231025375066e-12,7.107527028770626e-09,1.997547921742981e-11,1.997678029823562e-10
4.0000000000000003e-07,0.005001055267446772,8.499898336136456e-05,1500.2155261105931,101325.0,5.5414070294880256e-05,1.7413060639185352e-07,1.2247448503285186e-07,0.3997473044159881,4.2826338642588255e-07,0.00024800515506532135,1.8388017422304695e-05,2.4489233793640524e-06,3.2707177764903335e-21,2.1774151855788802e-15,3.1583280881507503e-10,1.2964901287622083e-10,0.00023190829320070695,0.39951623711634315,5.725566332674233e-06,9.711230106527372e-08,4.850960757517175e-09,0.00015113770654493522,5.2221159335161653e-11,1.545742707224729e-07,4.056968461771698e-06,9.623995263383094e-17,1.5774452736093627e-09,1.9631227540990856e-11,4.598102647152676e-06,1.2237901523483686e-07,2.712810718196535e-05,1.0410446765453599e-14,2.997675737272917e-09,9.053623591880858e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1999865289599849,1.5449510597602215e-12,9.42577125864737e-09,2.657075055072435e-11,2.6576313202890437e-10
4.2500000000000006e-07,0.005001349458586305,8.999763426688768e-05,1500.2961757047551,101325.00000000001,6.286281659509572e-05,1.886030080914708e-07,1.3119193089326913e-07,0.3997176451228539,4.5652783016728603e-07,0.0002796215734827633,1.8742213245717777e-05,2.4984919790149032e-06,3.852485148402794e-21,2.367834608110187e-15,3.6014388663490164e-10,1.4770620432223524e-10,0.00024763940503993244,0.39946205742904284,7.123313688578866e-06,1.179879867634204e-07,5.7576029431783575e-09,0.00017189688847846807,6.123215041259352e-11,1.6688164232483782e-07,4.648299813439161e-06,1.348933584701784e-16,2.0721337056220003e-09,2.559229620113097e-11,5.608243272063596e-06,1.4027793748536445e-07,3.2913883892718195e-05,1.5143780987239455e-14,4.12967637226804e-09,1.3281631557812968e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19998551565971862,1.9981556799430096e-12,1.2251107318087865e-08,3.464541286770231e-11,3.466917614011477e-10
4.5000000000000003e-07,0.005001676777198964,9.499595805181656e-05,1500.386882954644,101324.99999999997,7.089600134396724e-05,2.0343514640279955e-07,1.3981796018376306e-07,0.3996861975156249,4.849065504444868e-07,0.0003132190644514807,1.9127306304920906e-05,2.551512994487577e-06,4.499099078595826e-21,2.563556645720125e-15,4.0634851131604123e-10,1.66649564945825e-10,0.0002629784532167706,0.3994049936254639,8.757730428476151e-06,1.4158752135317904e-07,6.76329262092691e-09,0.0001939610821137804,7.118976918357153e-11,1.793180829063705e-07,5.283323747226543e-06,1.8557738512550674e-16,2.681355630726727e-09,3.277428021323983e-11,6.753384324657379e-06,1.5904777508449838e-07,3.942255903414189e-05,2.155336152347858e-14,5.579730485785624e-09,1.9094535363309443e-14,-3.025893360022966e-40,1.5108058147584028e-38,-7.915262695188119e-39,1.4203115881510883e-38,-3.2163077545902476e-72,1.1399067508864012e-39,-1.6393247781516573e-41,-1.1572297919632467e-64,7.181546687054775e-39,-1.1361396118044884e-47,-2.6131359029834365e-40,-6.977839279498306e-42,-1.7738166884963198e-81,9.511133257727158e-47,-1.124539288770058e-46,-1.7204101697953082e-44,-1.235224510300458e-45,-4.226745445835573e-64,0.19998451849780005,2.5404717348938905e-12,1.5637469704059054e-08,4.437199981753159e-11,4.4434885712242457e-10
4.7500000000000006e-07,0.00500203774946282,9.999392113249999e-05,1500.4878079279122,101325.0,7.952686290394227e-05,2.1861099467765553e-07,1.483364752648786e-07,0.3996529543043828,5.134156146837213e-07,0.00034880893536353764,1.9546818286643254e-05,2.608864410406159e-06,5.214115560911745e-21,2.764616309268049e-15,4.5416652842707873e-10,1.8639895299132376e-10,0.0002778879772469937,0.39934504312947344,1.0651362921136062e-05,1.680209575068616e-07,7.870312676005409e-09,0.00021730275421725424,8.214319399465134e-11,1.9189734943046824e-07,5.962456360393381e-06,2.5102869011192487e-16,3.422484789770023e-09,4.130403537194126e-11,8.038969337674373e-06,1.7857942509234656e-07,4.667119644901909e-05,3.0074921150939726e-14,7.40753975374303e-09,2.6952857717823288e-14,7.327275551064484e-44,3.709914817052503e-39,3.018473721706964e-42,1.42015186681112e-38,6.045493229147348e-79,1.5177090499742554e-38,2.985167961140518e-41,3.22449678636341e-74,4.5097442630700685e-39,2.6486256938880084e-50,1.2190755750534097e-42,4.325548096935165e-45,7.050986538617032e-92,9.824993120759799e-46,8.84566728344117e-49,5.896850979927733e-45,1.0590165485984742e-45,1.512003761826738e-74,0.19998353778771497,3.180544081318053e-12,1.9636093722785957e-08,5.592010908627744e-11,5.605105468995135e-10
